# 2017/03/04 - 16:39
PDB,CHAIN,ACCESSION,EC_NUMBER
3uie,C,Q43295,2.7.1.25
3uim,A,Q94F62,2.7.10.1
3uim,A,Q94F62,2.7.11.1
3uin,A, ,6.3.2.-
3uio,A, ,6.3.2.-
3uip,A, ,6.3.2.-
3uiq,A,Q38087,2.7.7.7
3uir,A,P00747,3.4.21.7
3uir,B,P00747,3.4.21.7
3uiu,A,P19525,2.7.10.2
3uiu,A,P19525,2.7.11.1
3uiu,B,P19525,2.7.10.2
3uiu,B,P19525,2.7.11.1
3uix,A,P11309,2.7.11.1
3uj2,A, ,4.2.1.11
3uj2,B, ,4.2.1.11
3uj2,C, ,4.2.1.11
3uj2,D, ,4.2.1.11
3uj2,E, ,4.2.1.11
3uj2,F, ,4.2.1.11
3uj2,G, ,4.2.1.11
3uj2,H, ,4.2.1.11
3uje,A,P09104,4.2.1.11
3uje,B,P09104,4.2.1.11
3ujf,A,P09104,4.2.1.11
3ujf,B,P09104,4.2.1.11
3ujg,A,Q940H6,2.7.11.1
3ujg,B,Q9CAJ0,3.1.3.16
3ujh,A, ,5.3.1.9
3ujh,B, ,5.3.1.9
3ujk,A,O04719,3.1.3.16
3ujl,B,O04719,3.1.3.16
3ujn,A,P74881,6.3.5.3
3ujr,A,P09104,4.2.1.11
3ujr,B,P09104,4.2.1.11
3ujs,A,P09104,4.2.1.11
3ujs,B,P09104,4.2.1.11
3ujz,A, ,3.4.24.-
3uk1,A, ,2.2.1.1
3uk1,B, ,2.2.1.1
3uk2,A,Q2T095,6.3.2.1
3uk2,B,Q2T095,6.3.2.1
3uk4,A, ,3.4.21.-
3uk6,A,Q9Y230,3.6.4.12
3uk6,B,Q9Y230,3.6.4.12
3uk6,C,Q9Y230,3.6.4.12
3uk6,D,Q9Y230,3.6.4.12
3uk6,E,Q9Y230,3.6.4.12
3uk6,F,Q9Y230,3.6.4.12
3uk6,G,Q9Y230,3.6.4.12
3uk6,H,Q9Y230,3.6.4.12
3uk6,I,Q9Y230,3.6.4.12
3uk6,J,Q9Y230,3.6.4.12
3uk6,K,Q9Y230,3.6.4.12
3uk6,L,Q9Y230,3.6.4.12
3uk7,A,Q9M8R4,4.4.1.5
3uk7,B,Q9M8R4,4.4.1.5
3uk7,C,Q9M8R4,4.4.1.5
3uk8,A, ,4.2.1.1
3uk8,B, ,4.2.1.1
3uka,A, ,5.4.99.9
3uka,B, ,5.4.99.9
3uka,C, ,5.4.99.9
3uka,D, ,5.4.99.9
3ukd,A,P20425,2.7.4.14
3ukf,A, ,5.4.99.9
3ukf,B, ,5.4.99.9
3ukf,C, ,5.4.99.9
3ukf,D, ,5.4.99.9
3ukf,E, ,5.4.99.9
3ukf,F, ,5.4.99.9
3ukf,G, ,5.4.99.9
3ukf,H, ,5.4.99.9
3ukh,A, ,5.4.99.9
3ukh,B, ,5.4.99.9
3ukh,C, ,5.4.99.9
3ukh,D, ,5.4.99.9
3ukh,E, ,5.4.99.9
3ukh,F, ,5.4.99.9
3ukh,G, ,5.4.99.9
3ukh,H, ,5.4.99.9
3ukk,A, ,5.4.99.9
3ukk,B, ,5.4.99.9
3ukk,C, ,5.4.99.9
3ukk,D, ,5.4.99.9
3ukl,A, ,5.4.99.9
3ukl,B, ,5.4.99.9
3ukl,C, ,5.4.99.9
3ukl,D, ,5.4.99.9
3ukl,E, ,5.4.99.9
3ukl,F, ,5.4.99.9
3ukl,G, ,5.4.99.9
3ukl,H, ,5.4.99.9
3uko,A,Q96533,1.1.1.1
3uko,A,Q96533,1.1.1.284
3uko,B,Q96533,1.1.1.1
3uko,B,Q96533,1.1.1.284
3ukp,A, ,5.4.99.9
3ukp,B, ,5.4.99.9
3ukp,C, ,5.4.99.9
3ukp,D, ,5.4.99.9
3ukp,E, ,5.4.99.9
3ukp,F, ,5.4.99.9
3ukp,G, ,5.4.99.9
3ukp,H, ,5.4.99.9
3ukq,A, ,5.4.99.9
3ukq,B, ,5.4.99.9
3ukq,C, ,5.4.99.9
3ukq,D, ,5.4.99.9
3uld,A,Q9KEI9,3.1.26.4
3uli,A,P24941,2.7.11.22
3ulk,A,P05793,1.1.1.86
3ulk,B,P05793,1.1.1.86
3ulq,A, ,3.1.-.-
3ulr,A,P00698,3.2.1.17
3ulr,C,P42684,2.7.10.2
3ulz,A,Q94F62,2.7.10.1
3ulz,A,Q94F62,2.7.11.1
3um5,A, ,1.5.1.3
3um5,A, ,2.1.1.45
3um5,B, ,1.5.1.3
3um5,B, ,2.1.1.45
3um6,A, ,1.5.1.3
3um6,A, ,2.1.1.45
3um6,B, ,1.5.1.3
3um6,B, ,2.1.1.45
3um8,A, ,1.5.1.3
3um8,A, ,2.1.1.45
3um8,B, ,1.5.1.3
3um8,B, ,2.1.1.45
3um9,A, ,3.8.1.2
3um9,B, ,3.8.1.2
3umb,A, ,3.8.1.2
3umc,A, ,3.8.1.2
3umc,B, ,3.8.1.2
3umc,C, ,3.8.1.2
3umc,D, ,3.8.1.2
3umf,A, ,2.7.4.3
3umg,A, ,3.8.1.2
3umg,B, ,3.8.1.2
3umg,C, ,3.8.1.2
3umg,D, ,3.8.1.2
3umg,E, ,3.8.1.2
3umg,F, ,3.8.1.2
3umg,G, ,3.8.1.2
3umg,H, ,3.8.1.2
3umj,A, ,3.1.1.3
3umj,B, ,3.1.1.3
3umm,A,P74881,6.3.5.3
3umo,A,P06999,2.7.1.11
3umo,B,P06999,2.7.1.11
3ump,A,P06999,2.7.1.11
3ump,B,P06999,2.7.1.11
3umv,A,Q6F6A2,4.1.99.3
3umv,B,Q6F6A2,4.1.99.3
3umw,A,P11309,2.7.11.1
3umx,A,P11309,2.7.11.1
3un1,A, ,1.1.1.100
3un1,B, ,1.1.1.100
3un1,C, ,1.1.1.100
3un1,D, ,1.1.1.100
3un2,A,Q818Z9,5.4.2.7
3un2,B,Q818Z9,5.4.2.7
3un2,C,Q818Z9,5.4.2.7
3un3,A,Q818Z9,5.4.2.7
3un3,B,Q818Z9,5.4.2.7
3un3,C,Q818Z9,5.4.2.7
3un4,A,P23639,3.4.25.1
3un4,B,P23638,3.4.25.1
3un4,C,P40303,3.4.25.1
3un4,D,P32379,3.4.25.1
3un4,E,P40302,3.4.25.1
3un4,F,P21242,3.4.25.1
3un4,G,P21243,3.4.25.1
3un4,H,P25043,3.4.25.1
3un4,I,P25451,3.4.25.1
3un4,J,P22141,3.4.25.1
3un4,K,P30656,3.4.25.1
3un4,L,P23724,3.4.25.1
3un4,M,P30657,3.4.25.1
3un4,N,P38624,3.4.25.1
3un4,O,P23639,3.4.25.1
3un4,P,P23638,3.4.25.1
3un4,Q,P40303,3.4.25.1
3un4,R,P32379,3.4.25.1
3un4,S,P40302,3.4.25.1
3un4,T,P21242,3.4.25.1
3un4,U,P21243,3.4.25.1
3un4,V,P25043,3.4.25.1
3un4,W,P25451,3.4.25.1
3un4,X,P22141,3.4.25.1
3un4,Y,P30656,3.4.25.1
3un4,Z,P23724,3.4.25.1
3un4,a,P30657,3.4.25.1
3un4,b,P38624,3.4.25.1
3un5,A,Q818Z9,5.4.2.7
3un5,B,Q818Z9,5.4.2.7
3un5,C,Q818Z9,5.4.2.7
3un5,D,Q818Z9,5.4.2.7
3un5,E,Q818Z9,5.4.2.7
3un5,F,Q818Z9,5.4.2.7
3un8,A,P23639,3.4.25.1
3un8,B,P23638,3.4.25.1
3un8,C,P40303,3.4.25.1
3un8,D,P32379,3.4.25.1
3un8,E,P40302,3.4.25.1
3un8,F,P21242,3.4.25.1
3un8,G,P21243,3.4.25.1
3un8,H,P25043,3.4.25.1
3un8,I,P25451,3.4.25.1
3un8,J,P22141,3.4.25.1
3un8,K,P30656,3.4.25.1
3un8,L,P23724,3.4.25.1
3un8,M,P30657,3.4.25.1
3un8,N,P38624,3.4.25.1
3un8,O,P23639,3.4.25.1
3un8,P,P23638,3.4.25.1
3un8,Q,P40303,3.4.25.1
3un8,R,P32379,3.4.25.1
3un8,S,P40302,3.4.25.1
3un8,T,P21242,3.4.25.1
3un8,U,P21243,3.4.25.1
3un8,V,P25043,3.4.25.1
3un8,W,P25451,3.4.25.1
3un8,X,P22141,3.4.25.1
3un8,Y,P30656,3.4.25.1
3un8,Z,P23724,3.4.25.1
3un8,a,P30657,3.4.25.1
3un8,b,P38624,3.4.25.1
3una,A,P80457,1.17.1.4
3una,A,P80457,1.17.3.2
3una,B,P80457,1.17.1.4
3una,B,P80457,1.17.3.2
3unb,1,O55234,3.4.25.1
3unb,2,O09061,3.4.25.1
3unb,3,P99026,3.4.25.1
3unb,4,Q60692,3.4.25.1
3unb,A,P49722,3.4.25.1
3unb,B,Q9R1P0,3.4.25.1
3unb,C,Q9Z2U0,3.4.25.1
3unb,D,Q9Z2U1,3.4.25.1
3unb,E,Q9R1P4,3.4.25.1
3unb,F,O70435,3.4.25.1
3unb,G,Q9QUM9,3.4.25.1
3unb,H,P70195,3.4.25.1
3unb,I,Q9R1P1,3.4.25.1
3unb,J,Q9R1P3,3.4.25.1
3unb,K,O55234,3.4.25.1
3unb,L,O09061,3.4.25.1
3unb,M,P99026,3.4.25.1
3unb,N,Q60692,3.4.25.1
3unb,O,P49722,3.4.25.1
3unb,P,Q9R1P0,3.4.25.1
3unb,Q,Q9Z2U0,3.4.25.1
3unb,R,Q9Z2U1,3.4.25.1
3unb,S,Q9R1P4,3.4.25.1
3unb,T,O70435,3.4.25.1
3unb,U,Q9QUM9,3.4.25.1
3unb,V,P70195,3.4.25.1
3unb,W,Q9R1P1,3.4.25.1
3unb,X,Q9R1P3,3.4.25.1
3unb,Y,O55234,3.4.25.1
3unb,Z,O09061,3.4.25.1
3unb,a,P99026,3.4.25.1
3unb,b,Q60692,3.4.25.1
3unb,c,P49722,3.4.25.1
3unb,d,Q9R1P0,3.4.25.1
3unb,e,Q9Z2U0,3.4.25.1
3unb,f,Q9Z2U1,3.4.25.1
3unb,g,Q9R1P4,3.4.25.1
3unb,h,O70435,3.4.25.1
3unb,i,Q9QUM9,3.4.25.1
3unb,j,P70195,3.4.25.1
3unb,k,Q9R1P1,3.4.25.1
3unb,l,Q9R1P3,3.4.25.1
3unb,m,O55234,3.4.25.1
3unb,n,O09061,3.4.25.1
3unb,o,P99026,3.4.25.1
3unb,p,Q60692,3.4.25.1
3unb,q,P49722,3.4.25.1
3unb,r,Q9R1P0,3.4.25.1
3unb,s,Q9Z2U0,3.4.25.1
3unb,t,Q9Z2U1,3.4.25.1
3unb,u,Q9R1P4,3.4.25.1
3unb,v,O70435,3.4.25.1
3unb,w,Q9QUM9,3.4.25.1
3unb,x,P70195,3.4.25.1
3unb,y,Q9R1P1,3.4.25.1
3unb,z,Q9R1P3,3.4.25.1
3unc,A,P80457,1.17.1.4
3unc,A,P80457,1.17.3.2
3unc,B,P80457,1.17.1.4
3unc,B,P80457,1.17.3.2
3und,A, ,2.5.1.55
3und,B, ,2.5.1.55
3und,C, ,2.5.1.55
3und,D, ,2.5.1.55
3une,1,O55234,3.4.25.1
3une,2,O09061,3.4.25.1
3une,3,P99026,3.4.25.1
3une,4,Q60692,3.4.25.1
3une,A,P49722,3.4.25.1
3une,B,Q9R1P0,3.4.25.1
3une,C,Q9Z2U0,3.4.25.1
3une,D,Q9Z2U1,3.4.25.1
3une,E,Q9R1P4,3.4.25.1
3une,F,O70435,3.4.25.1
3une,G,Q9QUM9,3.4.25.1
3une,H,P70195,3.4.25.1
3une,I,Q9R1P1,3.4.25.1
3une,J,Q9R1P3,3.4.25.1
3une,K,O55234,3.4.25.1
3une,L,O09061,3.4.25.1
3une,M,P99026,3.4.25.1
3une,N,Q60692,3.4.25.1
3une,O,P49722,3.4.25.1
3une,P,Q9R1P0,3.4.25.1
3une,Q,Q9Z2U0,3.4.25.1
3une,R,Q9Z2U1,3.4.25.1
3une,S,Q9R1P4,3.4.25.1
3une,T,O70435,3.4.25.1
3une,U,Q9QUM9,3.4.25.1
3une,V,P70195,3.4.25.1
3une,W,Q9R1P1,3.4.25.1
3une,X,Q9R1P3,3.4.25.1
3une,Y,O55234,3.4.25.1
3une,Z,O09061,3.4.25.1
3une,a,P99026,3.4.25.1
3une,b,Q60692,3.4.25.1
3une,c,P49722,3.4.25.1
3une,d,Q9R1P0,3.4.25.1
3une,e,Q9Z2U0,3.4.25.1
3une,f,Q9Z2U1,3.4.25.1
3une,g,Q9R1P4,3.4.25.1
3une,h,O70435,3.4.25.1
3une,i,Q9QUM9,3.4.25.1
3une,j,P70195,3.4.25.1
3une,k,Q9R1P1,3.4.25.1
3une,l,Q9R1P3,3.4.25.1
3une,m,O55234,3.4.25.1
3une,n,O09061,3.4.25.1
3une,o,P99026,3.4.25.1
3une,p,Q60692,3.4.25.1
3une,q,P49722,3.4.25.1
3une,r,Q9R1P0,3.4.25.1
3une,s,Q9Z2U0,3.4.25.1
3une,t,Q9Z2U1,3.4.25.1
3une,u,Q9R1P4,3.4.25.1
3une,v,O70435,3.4.25.1
3une,w,Q9QUM9,3.4.25.1
3une,x,P70195,3.4.25.1
3une,y,Q9R1P1,3.4.25.1
3une,z,Q9R1P3,3.4.25.1
3unf,A,P49722,3.4.25.1
3unf,B,Q9R1P0,3.4.25.1
3unf,C,Q9Z2U0,3.4.25.1
3unf,D,Q9Z2U1,3.4.25.1
3unf,E,Q9R1P4,3.4.25.1
3unf,F,O70435,3.4.25.1
3unf,G,Q9QUM9,3.4.25.1
3unf,H,O35955,3.4.25.1
3unf,I,Q9R1P1,3.4.25.1
3unf,J,Q9R1P3,3.4.25.1
3unf,K,P28063,3.4.25.1
3unf,L,O09061,3.4.25.1
3unf,M,P99026,3.4.25.1
3unf,N,P28076,3.4.25.1
3unf,O,P49722,3.4.25.1
3unf,P,Q9R1P0,3.4.25.1
3unf,Q,Q9Z2U0,3.4.25.1
3unf,R,Q9Z2U1,3.4.25.1
3unf,S,Q9R1P4,3.4.25.1
3unf,T,O70435,3.4.25.1
3unf,U,Q9QUM9,3.4.25.1
3unf,V,O35955,3.4.25.1
3unf,W,Q9R1P1,3.4.25.1
3unf,X,Q9R1P3,3.4.25.1
3unf,Y,P28063,3.4.25.1
3unf,Z,O09061,3.4.25.1
3unf,a,P99026,3.4.25.1
3unf,b,P28076,3.4.25.1
3unh,A,P49722,3.4.25.1
3unh,B,Q9R1P0,3.4.25.1
3unh,C,Q9Z2U0,3.4.25.1
3unh,D,Q9Z2U1,3.4.25.1
3unh,E,Q9R1P4,3.4.25.1
3unh,F,O70435,3.4.25.1
3unh,G,Q9QUM9,3.4.25.1
3unh,H,O35955,3.4.25.1
3unh,I,Q9R1P1,3.4.25.1
3unh,J,Q9R1P3,3.4.25.1
3unh,K,P28063,3.4.25.1
3unh,L,O09061,3.4.25.1
3unh,M,P99026,3.4.25.1
3unh,N,P28076,3.4.25.1
3unh,O,P49722,3.4.25.1
3unh,P,Q9R1P0,3.4.25.1
3unh,Q,Q9Z2U0,3.4.25.1
3unh,R,Q9Z2U1,3.4.25.1
3unh,S,Q9R1P4,3.4.25.1
3unh,T,O70435,3.4.25.1
3unh,U,Q9QUM9,3.4.25.1
3unh,V,O35955,3.4.25.1
3unh,W,Q9R1P1,3.4.25.1
3unh,X,Q9R1P3,3.4.25.1
3unh,Y,P28063,3.4.25.1
3unh,Z,O09061,3.4.25.1
3unh,a,P99026,3.4.25.1
3unh,b,P28076,3.4.25.1
3uni,A,P80457,1.17.1.4
3uni,A,P80457,1.17.3.2
3uni,B,P80457,1.17.1.4
3uni,B,P80457,1.17.3.2
3unj,A,P24941,2.7.11.22
3unk,A,P24941,2.7.11.22
3unl,A,P00947,5.3.3.1
3unl,B,P00947,5.3.3.1
3unl,C,P00947,5.3.3.1
3unl,D,P00947,5.3.3.1
3uno,A,P9WNE5,1.16.3.1
3uno,B,P9WNE5,1.16.3.1
3uno,C,P9WNE5,1.16.3.1
3uno,D,P9WNE5,1.16.3.1
3uno,E,P9WNE5,1.16.3.1
3uno,F,P9WNE5,1.16.3.1
3uno,G,P9WNE5,1.16.3.1
3uno,H,P9WNE5,1.16.3.1
3uno,I,P9WNE5,1.16.3.1
3uno,J,P9WNE5,1.16.3.1
3uno,K,P9WNE5,1.16.3.1
3uno,L,P9WNE5,1.16.3.1
3uno,M,P9WNE5,1.16.3.1
3uno,N,P9WNE5,1.16.3.1
3uno,O,P9WNE5,1.16.3.1
3uno,P,P9WNE5,1.16.3.1
3uno,Q,P9WNE5,1.16.3.1
3uno,R,P9WNE5,1.16.3.1
3uno,S,P9WNE5,1.16.3.1
3uno,T,P9WNE5,1.16.3.1
3uno,U,P9WNE5,1.16.3.1
3uno,V,P9WNE5,1.16.3.1
3uno,W,P9WNE5,1.16.3.1
3uno,X,P9WNE5,1.16.3.1
3unq,A,P00760,3.4.21.4
3unr,A,P00760,3.4.21.4
3uns,A,P00760,3.4.21.4
3unt,A,P28720,2.4.2.29
3unw,A,O94925,3.5.1.2
3unw,B,O94925,3.5.1.2
3unw,C,O94925,3.5.1.2
3unw,D,O94925,3.5.1.2
3unx,A,P00780,3.4.21.62
3uny,A,Q818Z9,5.4.2.7
3uny,B,Q818Z9,5.4.2.7
3uny,C,Q818Z9,5.4.2.7
3uny,D,Q818Z9,5.4.2.7
3uny,E,Q818Z9,5.4.2.7
3uny,F,Q818Z9,5.4.2.7
3unz,A,O14965,2.7.11.1
3unz,B,O14965,2.7.11.1
3uo0,A,Q818Z9,5.4.2.7
3uo0,B,Q818Z9,5.4.2.7
3uo0,C,Q818Z9,5.4.2.7
3uo4,A,O14965,2.7.11.1
3uo5,A,O14965,2.7.11.1
3uo6,A,O14965,2.7.11.1
3uo6,B,O14965,2.7.11.1
3uo7,A,Q13569,3.2.2.29
3uo7,B,Q13569,3.2.2.29
3uo8,B, ,3.4.22.-
3uo8,C, ,3.4.22.-
3uo9,A,O94925,3.5.1.2
3uo9,B,O94925,3.5.1.2
3uo9,C,O94925,3.5.1.2
3uo9,D,O94925,3.5.1.2
3uob,A,Q13569,3.2.2.29
3uob,B,Q13569,3.2.2.29
3uod,A,O14965,2.7.11.1
3uof,A,P9WPQ9,1.16.3.1
3uof,B,P9WPQ9,1.16.3.1
3uof,C,P9WPQ9,1.16.3.1
3uof,D,P9WPQ9,1.16.3.1
3uof,E,P9WPQ9,1.16.3.1
3uof,F,P9WPQ9,1.16.3.1
3uog,A, ,1.1.1.1
3uog,B, ,1.1.1.1
3uoh,A,O14965,2.7.11.1
3uoh,B,O14965,2.7.11.1
3uoi,A,P9WPQ9,1.16.3.1
3uoi,B,P9WPQ9,1.16.3.1
3uoi,C,P9WPQ9,1.16.3.1
3uoi,D,P9WPQ9,1.16.3.1
3uoi,E,P9WPQ9,1.16.3.1
3uoi,F,P9WPQ9,1.16.3.1
3uoi,G,P9WPQ9,1.16.3.1
3uoi,H,P9WPQ9,1.16.3.1
3uoi,I,P9WPQ9,1.16.3.1
3uoi,J,P9WPQ9,1.16.3.1
3uoi,K,P9WPQ9,1.16.3.1
3uoi,L,P9WPQ9,1.16.3.1
3uoi,M,P9WPQ9,1.16.3.1
3uoi,N,P9WPQ9,1.16.3.1
3uoi,O,P9WPQ9,1.16.3.1
3uoi,P,P9WPQ9,1.16.3.1
3uoi,Q,P9WPQ9,1.16.3.1
3uoi,R,P9WPQ9,1.16.3.1
3uoi,S,P9WPQ9,1.16.3.1
3uoi,T,P9WPQ9,1.16.3.1
3uoi,U,P9WPQ9,1.16.3.1
3uoi,V,P9WPQ9,1.16.3.1
3uoi,W,P9WPQ9,1.16.3.1
3uoi,X,P9WPQ9,1.16.3.1
3uoi,a,P9WPQ9,1.16.3.1
3uoi,b,P9WPQ9,1.16.3.1
3uoi,c,P9WPQ9,1.16.3.1
3uoi,d,P9WPQ9,1.16.3.1
3uoi,e,P9WPQ9,1.16.3.1
3uoi,f,P9WPQ9,1.16.3.1
3uoi,g,P9WPQ9,1.16.3.1
3uoi,h,P9WPQ9,1.16.3.1
3uoi,i,P9WPQ9,1.16.3.1
3uoi,j,P9WPQ9,1.16.3.1
3uoi,k,P9WPQ9,1.16.3.1
3uoi,l,P9WPQ9,1.16.3.1
3uoi,m,P9WPQ9,1.16.3.1
3uoi,n,P9WPQ9,1.16.3.1
3uoi,o,P9WPQ9,1.16.3.1
3uoi,p,P9WPQ9,1.16.3.1
3uoi,q,P9WPQ9,1.16.3.1
3uoi,r,P9WPQ9,1.16.3.1
3uoi,s,P9WPQ9,1.16.3.1
3uoi,t,P9WPQ9,1.16.3.1
3uoi,u,P9WPQ9,1.16.3.1
3uoi,v,P9WPQ9,1.16.3.1
3uoi,w,P9WPQ9,1.16.3.1
3uoi,x,P9WPQ9,1.16.3.1
3uoj,A,O14965,2.7.11.1
3uoj,B,O14965,2.7.11.1
3uok,A,O14965,2.7.11.1
3uok,B,O14965,2.7.11.1
3uol,A,O14965,2.7.11.1
3uol,B,O14965,2.7.11.1
3uon,A,P00720,3.2.1.17
3uop,A,P00760,3.4.21.4
3uou,A,P00772,3.4.21.36
3uov,A,H3JQW0,1.14.13.160
3uov,B,H3JQW0,1.14.13.160
3uow,A, ,6.3.5.2
3uow,B, ,6.3.5.2
3uox,A,H3JQW0,1.14.13.160
3uox,B,H3JQW0,1.14.13.160
3uoy,A,H3JQW0,1.14.13.160
3uoy,B,H3JQW0,1.14.13.160
3uoz,A,H3JQW0,1.14.13.160
3uoz,B,H3JQW0,1.14.13.160
3up2,A,O14965,2.7.11.1
3up4,A,H3JQW0,1.14.13.160
3up4,B,H3JQW0,1.14.13.160
3up5,A,H3JQW0,1.14.13.160
3up5,B,H3JQW0,1.14.13.160
3up7,A,O14965,2.7.11.1
3up8,A, ,1.1.1.274
3up8,B, ,1.1.1.274
3upb,A, ,2.2.1.2
3upb,B, ,2.2.1.2
3upd,A,Q8DCF5,2.1.3.3
3upe,A,P00760,3.4.21.4
3uph,A,O92972,2.7.7.48
3uph,A,O92972,3.4.21.98
3uph,A,O92972,3.6.1.15
3uph,A,O92972,3.6.4.13
3uph,B,O92972,2.7.7.48
3uph,B,O92972,3.4.21.98
3uph,B,O92972,3.6.1.15
3uph,B,O92972,3.6.4.13
3upi,A,O92972,2.7.7.48
3upi,A,O92972,3.4.21.98
3upi,A,O92972,3.6.1.15
3upi,A,O92972,3.6.4.13
3upi,B,O92972,2.7.7.48
3upi,B,O92972,3.4.21.98
3upi,B,O92972,3.6.1.15
3upi,B,O92972,3.6.4.13
3upj,A,P04584,2.7.7.49
3upj,A,P04584,2.7.7.7
3upj,A,P04584,3.1.13.2
3upj,A,P04584,3.1.26.13
3upj,A,P04584,3.4.23.47
3upj,B,P04584,2.7.7.49
3upj,B,P04584,2.7.7.7
3upj,B,P04584,3.1.13.2
3upj,B,P04584,3.1.26.13
3upj,B,P04584,3.4.23.47
3upk,A,P33038,2.5.1.7
3upm,A,P0A434,3.1.8.1
3upm,B,P0A434,3.1.8.1
3upn,A, ,3.4.16.4
3upn,B, ,3.4.16.4
3upo,A, ,3.4.16.4
3upo,B, ,3.4.16.4
3upp,A, ,3.4.16.4
3upp,B, ,3.4.16.4
3upq,A,Q9UGP5,2.7.7.7
3upt,A, ,2.2.1.1
3upt,B, ,2.2.1.1
3upu,A,P32270,3.6.4.12
3upu,B,P32270,3.6.4.12
3upu,C,P32270,3.6.4.12
3upw,A, ,1.6.99.1
3upx,A, ,2.7.11.17
3upz,A, ,2.7.11.17
3uq0,A,Q9UGP5,2.7.7.7
3uq2,A,Q9UGP5,2.7.7.7
3uq6,A, ,2.7.1.20
3uq6,B, ,2.7.1.20
3uq8,A,P43813,6.5.1.2
3uq9,A, ,2.7.1.20
3uq9,B, ,2.7.1.20
3uqa,A, ,5.2.1.8
3uqb,A, ,5.2.1.8
3uqd,A,P06999,2.7.1.11
3uqd,B,P06999,2.7.1.11
3uqd,C,P06999,2.7.1.11
3uqd,D,P06999,2.7.1.11
3uqe,A,P06999,2.7.1.11
3uqe,B,P06999,2.7.1.11
3uqf,A,P00523,2.7.10.2
3uqf,B,P00523,2.7.10.2
3uqg,A,P00523,2.7.10.2
3uqg,B,P00523,2.7.10.2
3uqi,A, ,5.2.1.8
3uqn,A, ,4.2.1.52
3uqn,B, ,4.2.1.52
3uqo,A,P00760,3.4.21.4
3uqp,A,P56817,3.4.23.46
3uqr,A,P56817,3.4.23.46
3uqr,B,P56817,3.4.23.46
3uqr,C,P56817,3.4.23.46
3uqu,A,P56817,3.4.23.46
3uqv,A,P00760,3.4.21.4
3uqw,A,P56817,3.4.23.46
3uqx,A,P56817,3.4.23.46
3uqy,L,P0ACD8,1.12.99.6
3uqy,M,P0ACD8,1.12.99.6
3uqy,S,P69739,1.12.99.6
3uqy,T,P69739,1.12.99.6
3ur1,A,Q56310,2.7.13.3
3ur2,A,P0A434,3.1.8.1
3ur2,B,P0A434,3.1.8.1
3ur5,A,P0A434,3.1.8.1
3ur5,B,P0A434,3.1.8.1
3ur6,A,Q83883,2.7.7.48
3ur6,A,Q83883,3.4.22.66
3ur6,A,Q83883,3.6.1.15
3ur6,B,Q83883,2.7.7.48
3ur6,B,Q83883,3.4.22.66
3ur6,B,Q83883,3.6.1.15
3ur7,A, ,3.2.1.39
3ur7,B, ,3.2.1.39
3ur8,A, ,3.2.1.39
3ur8,B, ,3.2.1.39
3ur9,A,Q83883,2.7.7.48
3ur9,A,Q83883,3.4.22.66
3ur9,A,Q83883,3.6.1.15
3ur9,B,Q83883,2.7.7.48
3ur9,B,Q83883,3.4.22.66
3ur9,B,Q83883,3.6.1.15
3ura,A,P0A434,3.1.8.1
3ura,B,P0A434,3.1.8.1
3urb,A,P0A434,3.1.8.1
3urb,B,P0A434,3.1.8.1
3urc,A,P00778,3.4.21.12
3urd,A,P00778,3.4.21.12
3ure,A,P00778,3.4.21.12
3ure,B,P00778,3.4.21.12
3urh,A, ,1.8.1.4
3urh,B, ,1.8.1.4
3uri,A,P11838,3.4.23.22
3urj,A,P11838,3.4.23.22
3urk,A,P62623,1.17.7.4
3urk,B,P62623,1.17.7.4
3url,A,P11838,3.4.23.22
3urn,A,P0A434,3.1.8.1
3urn,B,P0A434,3.1.8.1
3urp,A,P00651,3.1.27.3
3urq,A,P0A434,3.1.8.1
3urq,B,P0A434,3.1.8.1
3us4,A,P42679,2.7.10.2
3us6,A, ,2.7.3.-
3us8,A, ,1.1.1.42
3us8,B, ,1.1.1.42
3usb,A, ,1.1.1.205
3usb,B, ,1.1.1.205
3usc,L,P0ACD8,1.12.99.6
3usc,M,P0ACD8,1.12.99.6
3usc,S,P69739,1.12.99.6
3usc,T,P69739,1.12.99.6
3usd,A, ,3.4.21.-
3use,L,P0ACD8,1.12.99.6
3use,M,P0ACD8,1.12.99.6
3use,S,P69739,1.12.99.6
3use,T,P69739,1.12.99.6
3usf,A,Q31QJ2,5.4.3.8
3usf,B,Q31QJ2,5.4.3.8
3usn,A,P08254,3.4.24.17
3usq,A,P13280,2.4.1.186
3usr,A,P13280,2.4.1.186
3uss,A, ,1.13.11.20
3uss,B, ,1.13.11.20
3usv,A,P00784,3.4.22.2
3usv,C,P00784,3.4.22.2
3usz,A, ,3.2.1.-
3ut0,A, ,3.2.1.-
3ut0,B, ,3.2.1.-
3ut0,C, ,3.2.1.-
3ut0,D, ,3.2.1.-
3ut2,A,A4QUT2,1.11.1.21
3ut2,B,A4QUT2,1.11.1.21
3ut6,A,P0ABP8,2.4.2.1
3ut6,B,P0ABP8,2.4.2.1
3ut6,C,P0ABP8,2.4.2.1
3utc,A,P62623,1.17.7.4
3utc,B,P62623,1.17.7.4
3utd,A,P62623,1.17.7.4
3utd,B,P62623,1.17.7.4
3ute,A, ,5.4.99.9
3ute,B, ,5.4.99.9
3ute,C, ,5.4.99.9
3ute,D, ,5.4.99.9
3utf,A, ,5.4.99.9
3utf,B, ,5.4.99.9
